#Table1
ID,DEC_deg,RA_deg,Redshift,MedianStellarMass_dex_solarmasses,DeVancoulerGalRad_bandR_arcsec
1237654605856571664,4.2062352,146.23462,0.2479405,11.5718758066068,2.858205
1237654653634806184,36.950493,119.70777,0.2220724,11.716173390334,4.39015
1237655465383035044,61.752591,203.07736,0.2358416,11.6222995528951,2.501993
1237656495096267532,10.365435,319.54588,0.2250144,11.5411817447166,2.65877
1237656539666055429,-8.7175121,349.86335,0.2342167,11.6719360451243,3.733371
1237657241896288319,44.417991,139.96419,0.2213716,11.6766722558095,3.061064
1237657590311747733,46.930793,143.97328,0.2363445,11.5860021254921,3.91056
1237657611802771539,57.216997,178.72552,0.09736435,10.694515441297,0.9702371
1237658425165807784,8.0332407,163.04395,0.2581734,11.6194186552893,1.954183
1237658492281618509,9.6296915,185.21521,0.2231191,11.4422024379019,1.837264
1237658613596029049,50.443436,184.84684,0.2639739,11.7419502545235,2.176475
1237648702971379914,-1.0805734,194.68646,0.1835608,11.4712470538216,2.212739
1237648704061636893,-0.20557149,232.29601,0.08856682,11.3563898030552,3.352143
1237648720158195843,-1.0212878,182.78648,0.1798101,11.7527623643546,3.387775
1237648720158523546,-0.89409733,183.52052,0.08145477,11.2454581631464,2.798244
1237648720687333542,-0.4438403,165.06365,0.2466209,11.6441845142399,2.371653
1237648720699654255,-0.44570866,193.16373,0.1696978,11.1538203548989,1.475623
1237648722299257042,0.64127384,168.12493,0.193673,11.5774197567371,3.476422
1237648722834686048,1.1534874,164.82438,0.03948564,11.1134507856914,4.943473
1237650370481094829,-2.4828814,178.08421,0.1619828,11.2693999732728,1.53416
1237651190286712907,55.164646,139.21489,0.182671,11.6054205893015,2.032213
1237651190287302810,56.002179,140.98501,0.1210921,11.3764666868665,1.808696
1237651225171984589,58.930682,257.54039,0.1266744,11.4781029846636,2.787729
1237651250978554073,45.747827,246.05447,0.05825008,11.203513493645,3.765588
1237651252023460068,53.490942,132.26977,0.1644655,11.3896284407238,1.521174
1237651273503932559,62.760925,146.70894,0.1230679,11.4512814974441,3.49163
1237651495225065641,52.68333,129.13518,0.1819582,11.6016355879401,2.454548
1237651539799245004,53.405857,242.65742,0.06388967,11.4199577730906,4.491785
1237651714260337086,48.528457,246.10208,0.05710424,11.4502375169832,6.494208
1237651736314184047,1.8271019,226.54108,0.2375849,11.5843365173787,1.929508
1237651736833294541,2.8074771,185.94929,0.07838637,11.478423426568,3.839981
1237651753466462275,2.0679663,164.04708,0.03917247,10.241244400444,2.941386
1237651755078779015,3.2715185,167.86964,0.03024618,10.5990320453202,4.97386
1237651801769902258,0.54003891,147.49522,0.07332225,11.2401033764909,6.511651
1237652629097283724,-10.579836,356.93128,0.146892,10.9994187697303,0.9226534
1237652899156394120,-8.9511018,43.745592,0.1998144,11.4037533409137,4.166512
1237652901309317277,-5.7331528,55.956507,0.1810091,11.3971872074762,1.774665
1237654390029484271,39.237864,120.94283,0.1878086,11.568018906808,3.25079
1237654400765395109,65.713663,177.6854,0.1084553,11.3910609686282,3.347567
1237654400773456046,61.683405,219.02035,0.1128784,11.6611056252004,6.521025
1237654652031336559,48.015067,135.95343,0.187724,11.3893485881272,2.398786
1237654874824966346,63.855416,192.9004,0.1044796,11.2780927991844,4.159129
1237654880739786909,4.4055673,221.24326,0.155882,11.0037218190264,1.054202
1237655125004517460,4.5263435,173.67043,0.1001814,11.7078007011442,5.941857
1237655129841991992,39.043375,253.09746,0.1702654,11.3690587284655,2.152446
1237655348895285642,42.823576,246.63952,0.1857695,11.4223363655619,1.842891
1237655373577191678,33.213926,254.3188,0.1702797,11.3440448549809,1.851879
1237655464309620778,60.795999,204.2204,0.03108159,10.7399770357297,3.740671
1237655499212587089,-1.4261451,229.4521,0.03711186,10.7982944155956,3.434043
1237655691936858197,-2.4733305,214.4878,0.2161669,11.6648036536208,3.256069
1237655692474712300,-2.060397,216.71456,0.1902093,11.4245794588933,2.01733
1237656241170415967,14.108832,356.0763,0.1835429,11.8537884251564,2.727338
1237657220951572637,56.306406,170.47492,0.182763,11.549466236087,3.175274
1237657589780185251,51.944553,161.12553,0.1371312,11.4638427095488,2.04173
1237657590320136278,54.172258,172.17498,0.07043078,11.5929587401042,8.608228
1237657610726604849,55.549921,169.17916,0.05812117,10.9706598821795,2.18433
1237657613415219380,58.68043,186.54964,0.2105546,11.4817959156935,2.681503
1237657628451995760,51.173067,172.27162,0.03267463,10.4528253434401,5.965825
1237657629507715084,31.294625,122.65153,0.07781816,11.3148083841079,5.268461
1237657775008710667,43.392529,141.74183,0.03307692,10.0615813815384,1.594587
1237657857144651891,52.015671,172.13241,0.3028753,11.9326375046512,2.345452
1237657858217214047,52.314077,167.47797,0.1783739,11.5081970191095,2.46314
1237657858220687493,53.484061,180.35307,0.05087905,10.4947511623322,1.442314
1237657873794334821,42.646256,146.65077,0.07396276,11.2153454294894,4.202966
1237658203418656981,32.886625,129.68588,0.2127532,11.7641718873056,2.954085
1237658203420164272,34.952669,132.94554,0.1908587,11.6090545323968,2.148886
1237658203430191299,46.194702,159.52255,0.1799652,11.41218574901,1.721708
1237658203954872373,32.324128,127.86457,0.05119634,11.2942387300282,6.510218
1237658203977089137,49.24801,193.51575,0.06696004,11.0350395677087,3.064333
1237658298458570873,5.7652949,154.50585,0.1187605,11.4417654370191,2.882745
1237658300598321411,6.0367982,136.73643,0.1833208,11.3748566193681,1.928035
1237658300600287450,6.4038706,141.20208,0.07477733,11.0945102153055,3.38055
1237658304352354411,57.88934,158.24892,0.1231844,11.3745139154635,3.180828
1237658422475620548,5.2228381,149.87087,0.1218865,11.4681042816956,2.563653
1237658491738849434,9.0730147,171.6796,0.1489175,11.6635546001198,3.212424
1237658492819341380,10.16131,187.17437,0.2095042,11.3222913562931,1.455572
1237658493339369695,8.636334,148.29318,0.09770379,11.2713699280284,2.352068
1237658607684747411,64.871677,186.72571,0.05024448,11.0383625443937,4.003294
1237658612518944815,49.10966,173.14505,0.0340146,10.8540414216695,4.922656
1237658917993054356,55.416553,184.98039,0.1629898,11.2957868483791,1.616148
1237659132207235139,51.83427,211.84988,0.1792262,11.5555653136689,2.961823
1237659326017765557,56.388524,215.87368,0.1754066,11.4168310195673,1.652277
1237659329776451746,42.439967,242.4381,0.07200046,11.2243965399684,4.102435
1237659329778942146,38.282271,247.44324,0.1768872,11.6237287237891,3.253331
1237659330847965221,46.794421,238.37447,0.200577,11.4178157973947,1.780651
1237661358071021788,43.006173,152.07542,0.07371571,11.3956899808254,4.155603
1237663784211906673,0.11721727,33.097569,0.1433287,11.2477658451826,2.269844
1237664869209669833,33.500724,132.42791,0.1091855,11.3284304252593,3.606673
1237665356157157579,35.940469,244.64314,0.03243503,10.3806444704533,4.488132
1237666214070059072,14.626241,18.572706,0.05880603,10.9198320437863,5.153763
1237666340801085582,1.1138455,20.06083,0.09238259,10.8839654693147,1.503984
1237666407381270542,-0.59707487,28.72132,0.02232226,10.5696725396265,4.17419
1237666408440725526,0.32045758,356.12534,0.0220403,10.8053690811503,6.710897
1237671140406460777,-1.871068,175.93171,0.1249647,11.3430292067351,2.176276
1237671939261399190,58.12259,230.55457,0.0704015,11.0587035080534,4.382782
1237671991342792965,-1.4763423,206.41475,0.1497275,11.3739353165292,2.407889
1237678600219656429,13.903537,332.03232,0.1825272,11.3936431200127,2.081017
1237679167160582394,15.041186,28.20111,0.2457586,11.8672857011406,4.515625
1237679454919000318,15.386253,345.53542,0.1506032,11.4458632358001,3.935185
1237650372092756061,-1.4395688,180.48081,0.1467061,11.2332807154744,1.406908
1237651190289793220,59.374576,149.64413,0.2407721,11.5675199329853,1.951404
1237651272426061957,55.957242,133.54629,0.244694,11.814040849451,3.23816
1237651272978268387,65.890193,207.91019,0.2196224,11.5464556080988,3.546681
1237652900229218385,-8.342285,41.546252,0.1499536,11.0136265257024,0.9544611
1237654604243992600,2.7742271,141.80705,0.1989022,11.3062998885871,2.155171
1237654604789842293,4.0353302,162.39209,0.2830875,11.7875424239028,3.123077
1237654953738436674,50.143872,245.65282,0.04332675,10.5352397580573,3.564472
1237654954277339551,46.484697,250.13539,0.2300219,11.9676974730683,3.146273
1237655464858157305,46.032454,242.63185,0.2398608,11.5504806636018,2.180032
1237655469673480414,2.1938991,230.3031,0.1114456,11.485637983511,4.161418
1237658422482174181,6.0637867,164.89664,0.3222265,11.9623024521279,4.4524
1237658424096129193,7.6123339,172.51193,0.13357,11.3164548451314,2.799768
1237658425167970473,8.3378939,168.07951,0.2234671,11.6452611990389,2.67019
1237658614123724939,46.503582,153.54504,0.2205005,11.4933828476205,2.99253
1237659162818183636,29.867489,253.72592,0.228927,11.6268827876775,2.228218
1237660411036434711,5.1236095,131.52695,0.240143,11.7457743174164,1.87262
1237660615586807916,11.025798,175.72623,0.1537091,11.7514705873036,4.526166
1237660634384957544,43.179777,157.60692,0.0448482,10.5073675243766,2.669238
1237661069261340826,14.626826,180.54033,0.2539388,11.7524694028689,2.498346
1237661069774226176,7.6574173,125.05514,0.2259603,11.5079556195415,2.03737
1237661070863565014,14.679513,160.69326,0.2610408,11.5897154123231,2.273776
1237661086415257942,18.126724,116.41095,0.05094643,11.3482804865926,7.524058
1237661126151373118,28.866118,130.66126,0.2060028,11.5382752662845,2.541249
1237661353242001553,57.303009,175.90312,0.1241514,11.8232181521598,7.226179
1237648703509364815,-0.81730439,197.2088,0.01794305,10.9758492099354,13.17603
1237648704049643683,-0.29728392,204.87235,0.1450027,11.1325997764361,1.427002
1237648705665958176,0.93408386,217.98394,0.1507882,11.5849022992479,4.311421
1237648721221714070,-0.20220599,159.37678,0.09639085,10.7391359520261,1.179816
1237648721231020227,-0.11348559,180.64745,0.2025895,11.4199425146799,1.880041
1237649920576716958,15.247283,15.994768,0.04176069,10.8868833217421,5.421125
1237649961386836109,-6.315547,62.425849,0.08423279,11.5627899052924,5.362272
1237649963532615725,-5.1733769,58.317274,0.06612448,11.3430652183015,3.56104
1237650371562307803,-1.7131054,195.14895,0.1198605,11.3220978796453,3.252009
1237650372089610356,-1.369534,173.27411,0.04623495,10.9413205017627,3.76546
1237651190281011326,45.78411,124.92856,0.0543653,10.9950316714821,2.749845
1237651225174475102,53.446667,260.59448,0.09937025,11.1546162715531,2.357056
1237651250978357467,46.27175,245.66835,0.08187267,10.8043628935702,1.216158
1237651251478528318,38.624171,116.26333,0.06093183,11.0112866894342,2.231282
1237651251486654609,53.231832,133.12345,0.08521665,11.0386878537101,2.810342
1237651539782598801,67.037808,164.79239,0.04072253,10.7193097536219,2.595063
1237651753459646638,1.7006708,148.42241,0.09837203,11.8270458770712,10.23003
1237651753483829361,2.0383612,203.67146,0.1139579,11.1311779299285,1.738019
1237651754022535382,2.46994,207.99871,0.02224085,10.2841861838824,3.917106
1237651754562879780,2.6403563,215.89115,0.282879,11.8512023063959,3.397572
1237651821637533983,3.2767629,220.31998,0.0276766,9.87791623588419,4.869119
1237651821640745198,2.9131694,227.66538,0.09139071,11.3739228046325,2.373319
1237652900765696092,-7.9837086,40.621785,0.1383417,11.8380737408297,5.003717
1237652900767465644,-7.7045366,44.701172,0.1905544,11.96253988432,6.374174
1237652901296210002,-8.9005453,25.956337,0.175477,11.5506598058855,2.875426
1237652901830328504,-8.7773252,19.652578,0.06610562,11.0524246778223,2.896528
1237652935105904989,-6.3730842,315.14616,0.1345681,11.6847705047112,3.916719
1237652943169650977,14.191766,346.72857,0.03992807,10.5829032948604,2.972444
1237652943697216064,11.974306,324.87985,0.2597562,11.7806639323535,1.731929
1237654604241764449,2.4427321,136.81125,0.05140826,10.8372348334087,3.032561
1237654604797902925,4.5022991,180.74458,0.1093689,11.3414453081787,2.576835
1237654605869875371,5.308699,176.72566,0.194641,11.5542801890406,1.95582
1237654627326427487,36.954528,120.57273,0.1225557,11.3957354530576,2.782892
1237654652030746742,47.051173,134.54936,0.1740348,11.4933944440127,2.484003
1237654652033826919,51.550956,143.01884,0.03356256,10.8727311227558,7.026422
1237654653105733692,49.614903,136.97424,0.03566007,10.6991665100504,3.223326
1237654653643063391,50.558868,137.73936,0.02886334,10.4230442369881,5.138171
1237654879655690362,4.3002258,197.58327,0.06667197,11.1848574776523,3.722969
1237654948372676849,60.284585,226.16911,0.1903351,11.3195307822316,3.211205
1237655107822682368,39.789232,124.33195,0.1984064,11.5416181560722,1.839755
1237655108372725937,57.984152,162.09371,0.1373829,11.5626437227475,4.255928
1237655130374996242,46.338492,246.53976,0.02945696,10.1828456561998,3.003722
1237655349429338279,48.071941,241.20519,0.1135928,11.3326560895221,1.955645
1237655368753283226,61.176773,194.71335,0.2430011,11.8694078409026,4.398441
1237655369818898561,59.364353,157.15945,0.07323328,11.2676094659837,9.730077
1237655369831612472,58.871385,215.34672,0.1372124,11.3621307996655,2.7401
1237655464842756289,62.530992,186.50766,0.1729243,11.6561064790003,2.948814
1237655465923510368,58.936367,218.73189,0.1728912,11.4937453874591,2.372202
1237655472900603957,28.920611,257.96943,0.2023684,11.4563567500154,1.728655
1237655473438130755,27.778998,259.14868,0.1195438,11.7626346817124,8.729353
1237655499740283086,-1.4668168,208.45546,0.1459652,11.5645010650624,3.620715
1237655502961640082,33.688835,256.83958,0.1097778,11.4387951773242,2.608205
1237656243319275569,15.873095,359.28959,0.151542,11.4602922132472,2.348702
1237656495115730993,14.700334,4.9116377,0.1159719,11.7009966513724,4.810844
1237656495645524125,14.50629,348.09455,0.0166204,9.44062487081828,6.374127
1237656538586415355,-8.5873327,336.19652,0.09511828,11.423714570934,8.128421
1237657071158100103,0.30716651,25.123306,0.1476634,11.455444602223,2.60155
1237657189836652752,-0.85746692,11.920596,0.1145691,11.6235337120015,5.45045
1237657221484838987,54.222257,156.27261,0.03213013,9.89964881166816,3.035443
1237657401340592389,37.065556,127.12645,0.1634436,11.4268295714282,2.154886
1237657589783199890,53.748227,172.03423,0.04891374,10.041675835615,4.052228
1237657595686093167,36.411832,121.66969,0.1215535,11.3361108988756,2.798632
1237657610723983394,53.753714,159.21883,0.1381419,11.642139179341,6.439023
1237657629510926543,36.329564,129.16296,0.1648766,11.5249909887498,2.759953
1237657771787616372,56.49386,164.00891,0.1374283,11.6466879284708,2.966964
1237657774462533964,29.482146,121.63755,0.1274278,11.3277675998979,2.101904
1237657775008120890,42.708804,140.21848,0.02464091,10.5938576130793,2.896742
1237657776615718955,39.536345,131.93906,0.02908292,10.9413772630505,6.917272
1237657856066977948,48.926476,158.76826,0.02884278,10.0414394715626,3.213342
1237658203965489410,45.204161,154.65787,0.10169,10.9254571645288,1.4494
1237658205571580094,41.538322,141.12112,0.1497747,11.3705369632953,2.668533
1237658206124900365,50.795277,194.94885,0.05389891,11.401744113391,7.032014
1237658297925501013,5.8944784,163.29031,0.1209197,11.3779485837149,3.641359
1237658311866515519,59.80723,181.32715,0.1149558,11.1067831653781,2.911848
1237658492264382702,7.3442368,145.46097,0.2567289,11.6830511869921,4.138196
1237658800956113059,50.244667,155.12249,0.1449608,11.5048131525982,3.191728
1237658802577408062,55.19419,195.11957,0.06421381,11.1236435777973,2.590114
1237659133286809733,46.12015,230.2709,0.09706771,10.6939148702513,1.110788
1237659145095217338,56.794094,211.73049,0.1300253,11.5130720086163,4.205608
1237659325481156810,55.741672,216.53759,0.1292086,11.4811169164168,2.959793
1237659329780187324,36.080077,249.65889,0.1734073,11.4812948294857,1.489934
1237659896174674246,55.414661,263.0989,0.06187312,11.310691773775,5.229287
1237660343936286738,39.776298,144.32887,0.02324533,10.3511575971206,3.349829
1237660412650455265,7.3558921,139.13928,0.0679194,10.7887173215277,1.645153
1237660561357996102,24.559873,121.1621,0.06748292,10.9530291958072,1.745952
1237660634383843367,42.209591,154.45855,0.05543426,11.2667430521105,4.565278
1237660763769471039,35.826708,143.1646,0.1046496,11.3449396508513,6.372195
1237660765371629681,26.283707,123.57233,0.06885511,10.8781454172131,2.846733
1237660962939535469,35.046076,137.547,0.1602586,11.2430165122641,1.799941
1237661064415740066,9.5856923,148.4877,0.1327082,11.5924393438036,3.192073
1237663479263854771,0.041995632,344.94199,0.110351,11.4311024353374,5.807808
1237663543147233407,-0.050597672,332.8643,0.05234917,11.4238161967951,6.221685
1237663782598017205,-1.0780471,25.657551,0.1611504,11.5362751938083,3.826142
1237665356156633306,34.730336,244.74466,0.02941896,10.3299303270323,3.665056
1237666215143538842,14.102499,17.53781,0.05799934,10.6308010292123,1.738824
1237666215144194230,15.573126,17.853344,0.06182148,11.4981340115482,4.323955
1237666408440004723,0.30392126,354.42622,0.1195906,11.2711004516459,2.49736
1237671127518150842,5.7379386,180.4134,0.1546151,11.1482309325365,1.385943
1237671128054300693,4.4133001,179.2314,0.1692616,11.6562590703834,4.770455
1237671128594251949,10.811399,182.36466,0.06882563,11.2078156550997,2.52483
1237671763711557812,-2.8691337,191.46481,0.08312582,11.3449176776921,4.61353
1237671766930882802,62.420003,253.4274,0.06147743,11.0802820524841,7.933044
1237674367529189581,33.921343,116.39232,0.06307887,11.2371296805213,2.757382
1237674601603268656,1.6861024,207.78188,0.09073822,11.2741681488114,2.930911
1237674602680156380,-1.6136702,214.18711,0.1255962,11.3146551823593,3.892936
1237674650460422277,0.0030481772,168.27163,0.03963597,11.3580686134519,9.513626
1237649918428250219,13.603548,13.476442,0.1819228,11.5561534008593,2.179313
1237651250942181614,39.386019,117.64059,0.2196247,11.5335085387778,1.995289
1237651274029662320,43.9186,116.8549,0.03174908,10.6571581388125,2.183202
1237651539256672457,62.278641,224.54126,0.2266258,11.5463048478123,2.523279
1237651736833163380,2.7762144,185.63093,0.1937387,11.4804315086076,1.727758
1237651752396849200,1.3204869,173.47118,0.1926424,11.6269542004447,4.960464
1237651754536337563,2.6568718,155.17404,0.2166116,11.5358934283722,2.349069
1237650371025633499,-2.0411392,195.58273,0.08437574,11.1475970679312,4.289467
1237650760249966799,-3.5234467,195.81335,0.1036209,11.2966956393211,2.425014
1237650796757844174,0.44866958,148.3768,0.07970483,11.5621355934418,4.634016
